Year,NUTS 3 Region,SectorAgg,GVA,PersonsAtWork,Productivity
2002,Ireland,Industry,47742.41,482.21,99007.50710271459
2002,Ireland,Knowledge & Professional Services,32967.43,323.15,102018.96951879932
2002,Ireland,Public Services,16861.57,366.93,45953.09732101491
2002,Mid-East,Agriculture & Fishing,305.38,11.91,25640.63811922754
2002,Mid-East,Arts & Other Services,378.73,11.73,32287.297527706734
2002,Mid-East,Distribution & Hospitality,1646.17,50.27,32746.568529938333
2002,Mid-East,Industry,6475.42,66.25999999999999,97727.43736794448
2002,Mid-East,Knowledge & Professional Services,2020.26,25.15,80328.42942345924
2002,Mid-East,Public Services,1418.7,37.09,38250.2022108385
2002,Mid-West,Agriculture & Fishing,374.85,19.32,19402.17391304348
2002,Mid-West,Arts & Other Services,200.57,9.48,21157.17299578059
2002,Mid-West,Distribution & Hospitality,1301.45,48.14,27034.69048608226
2002,Mid-West,Industry,5044.57,57.75,87351.86147186147
2002,Mid-West,Knowledge & Professional Services,1556.31,24.69,63034.02187120292
2002,Mid-West,Public Services,1592.52,37.0,43041.08108108108
2002,Midlands,Agriculture & Fishing,161.2,9.17,17579.06215921483
2002,Midlands,Arts & Other Services,94.02,3.48,27017.241379310344
2002,Midlands,Distribution & Hospitality,705.11,21.34,33041.70571696345
2002,Midlands,Industry,1690.5100000000002,25.340000000000003,66713.10181531176
2002,Midlands,Knowledge & Professional Services,606.38,8.77,69142.53135689851
2002,Midlands,Public Services,829.03,18.1,45802.76243093923
2002,South-East,Agriculture & Fishing,352.94,16.51,21377.347062386434
2002,South-East,Arts & Other Services,172.56,7.14,24168.067226890755
2002,South-East,Distribution & Hospitality,1079.07,37.15,29046.298788694483
2002,South-East,Industry,3332.66,46.33,71933.08871141808
2002,South-East,Knowledge & Professional Services,1050.5,16.19,64885.73193329215
2002,South-East,Public Services,1207.85,29.6,40805.74324324324
2002,South-West,Agriculture & Fishing,591.75,21.62,27370.490286771506
2002,South-West,Arts & Other Services,295.53,12.56,23529.458598726116
2002,South-West,Distribution & Hospitality,3416.18,67.54,50580.10068107788
2002,South-West,Industry,10811.470000000001,79.03999999999999,136784.7925101215
2002,South-West,Knowledge & Professional Services,2994.28,37.0,80926.48648648648
2002,South-West,Public Services,2492.56,51.16,48720.87568412822
2002,West,Agriculture & Fishing,211.56,21.43,9872.141857209519
2002,West,Arts & Other Services,174.26,7.21,24169.209431345353
2002,West,Distribution & Hospitality,1154.62,39.32,29364.6998982706
2002,West,Industry,3986.13,47.69,83584.18955755924
2002,West,Knowledge & Professional Services,1598.77,19.87,80461.49974836437
2002,West,Public Services,1699.6,32.25,52700.77519379845
2003,Border,Agriculture & Fishing,263.11,17.65,14907.082152974504
2003,Border,Arts & Other Services,143.44,5.72,25076.923076923078
2003,Border,Distribution & Hospitality,864.61,35.02,24689.034837235864
2003,Border,Industry,2477.48,42.79,57898.5744332788
